LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402-01171,BEST BUDZ LLC,BEST BUDZ,MMC,Colorado Springs,80907,2020-12-01
402-01039,MAGIC CITY FARMS 2 LLC,,MMC,Denver,80239,2020-12-01
402-01154,TOTAL GREEN LLC,TOTAL GREEN,MMC,Colorado Springs,80910,2020-12-01
402-01081,JP LABS LLC,JP WELLNESS,MMC,Colorado Springs,80904,2020-12-01
402-01031,GREEN PHARM II LLC,GREEN PHARM,MMC,Colorado Springs,80918,2020-12-01
402-01115,MAGGIES FARM LLC,MAGGIES FARM,MMC,Manitou Springs,80829,2020-12-01
402-01111,THE EPIC REMEDY LLC,THE ER,MMC,Colorado Springs,80910,2020-12-01
402-01221,LIGHTSHADE LABS LLC,LIGHTSHADE,MMC,Denver,80239,2020-12-01
402-01176,BUKU LOUD LLC,BUKU LOUD,MMC,Colorado Springs,80916,2020-12-01
402-01144,ADAMS GREEN CROSSING LLC,THE CHRONIC BOUTIQUE,MMC,Colorado Springs,80903,2020-12-01
402-00507,THE HERBAL CURE LLC,,MMC,Denver,80209,2020-12-01
402-01104,TRILL EVOLUTIONS LLC,TRILL EVOLUTIONS,MMC,Denver,80239,2020-12-01
402-00150,RIVERROCK LLC,RIVERROCK,MMC,Denver,80216,2020-12-01
402-01089,CANNAJUANA LLC,,MMC,Denver,80223,2020-12-01
402-01077,LEVELS IV INC,LEVELS IV INC,MMC,Denver,80212,2020-12-01
402-00165,CONCENTRATE LLC,WOLF PAC CANNABIS,MMC,Denver,80222,2020-12-01
402-00401,BEST BUDZ LLC,BEST BUDZ,MMC,Colorado Springs,80918,2020-12-01
402-01167,J2JCO LLC,FIRE MEDS,MMC,Colorado Springs,80909,2020-12-01
402-00934,CANNABIS FOR HEALTH LLC,PIG N WHISTLE,MMC,Denver,80204,2020-12-01
402-01142,UNIVERSAL HERBS LLC,UNIVERSAL HERBS,MMC,Denver,80223,2020-12-01
402-00902,BEYOND BROADWAY LLC,LIVWELL,MMC,Denver,80209,2020-12-01
402-00288,PI ARAPAHOE LLC,LOVA ARAPAHOE,MMC,Denver,80205,2020-12-01
402-00603,LIGHTSHADE LABS LLC,LIGHTSHADE,MMC,Denver,80207,2020-12-01
402-01238,BGOOD VENTURES LLC,BGOOD APOTHECARY,MMC,Englewood,80110,2020-12-01
402-01093,JPJR AND ASSOCIATES LLC,STASH HOUSE,MMC,Denver,80211,2020-12-01
402-01097,ADAMS GREEN CROSSING LLC,THE CHRONIC BOUTIQUE,MMC,Colorado Springs,80904,2020-12-01
402-01146,BCC LLC,BONFIRE CANNABIS COMPANY,MMC,Denver,80216,2020-12-01
402-01169,KANOPYA HOLDINGS LLC,KANOPYA SPRINGS,MMC,Colorado Springs,80909,2020-12-01
402-00556,FLOWER POWER BOTANICALS LLC,,MMC,Fort Collins,80524,2020-12-01
402-00868,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,MMC,Colorado Springs,80909,2020-12-01
402-00680,SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,MMC,Denver,80203,2020-12-01
402-00375,2251SB LLC,APOTHECARY FARMS,MMC,Denver,80210,2020-12-01
402-00883,MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,MMC,Boulder,80301,2020-12-01
402-01158,TOP SHELF LLC,TOP SHELF,MMC,Denver,80209,2020-12-01
402-01162,HERBAL HEALING LLC,HERBAL HEALING,MMC,Colorado Springs,80907,2020-12-01
402-01140,RJJ TEJON LLC,NATIVE ROOTS TEJON,MMC,Colorado Springs,80905,2020-12-01
402-01163,HERBAL HEALING LLC,HERBAL HEALING,MMC,Colorado Springs,80907,2020-12-01
402-00982,GREEN KIWI 2 LLC,LIVWELL,MMC,Denver,80205,2020-12-01
402-00135,4625 E COLFAX LLC,THE CLINIC ON COLFAX,MMC,Denver,80220,2020-12-01
402-01127,STEM BEACH DISPENSARY LLC,DOCTORS ORDERS,MMC,Pueblo,81004,2020-12-01
402-01070,RJJ SANTA FE LLC,NATIVE ROOTS SANTA FE,MMC,Denver,80223,2020-12-01
402-01264,MHFS LLC,GOOD CHEMISTRY,MMC,Denver,80211,2020-12-01
402-01157,PIKES PEAK INDUSTRIES LLC,BUD EZ,MMC,Colorado Springs,80903,2020-12-01
402-01008,LIVWELL X LLC,LIVWELL,MMC,Colorado Springs,80909,2020-12-01
402-00746,3B UMATILLA LLC,BUDDY BOY,MMC,Denver,80204,2020-12-01
402-01173,GREEN FARMS LLC,,MMC,Colorado Springs,80909,2020-12-01
402-00967,10185 RIDGE LLC,EVERBLOOM,MMC,Wheat Ridge,80033,2020-12-01
402-01291,ROCKY FORD STATION LLC,THE STATION,MMC,Rocky Ford,81067,2020-12-01
402-01197,1-11 LLC,ONE:ELEVEN,MMC,Moffat,81143,2020-12-01
402-00062,NATURES HERBS & WELLNESS CENTER,,MMC,Garden City,80631,2020-12-01
402-00976,TRILL THERAPEUTICS LLC,TRILL ALTERNATIVES,MMC,Boulder,80302,2020-12-01
402-01010,COLORADO FARMS INC,LIGHTSHADE,MMC,Denver,80239,2020-12-01
402-01201,MMJ 95 LLC,TWEEDLEAF,MMC,Colorado Springs,80918,2020-12-01
402-00938,MARISOL THERAPEUTICS LLC,,MMC,Pueblo West,81007,2020-12-01
402-01166,YUMA WAY LLC,CHERRY PEAK,MMC,Glendale,80246,2020-12-01
402-00080,TUMBLEWEED STEAMBOAT LLC,RK ENTERPRISES ,MMC,Steamboat Springs,80487,2020-12-01
402-00943,BOULDER TREATMENTS LLC,ROOT ORGANIC MMC,MMC,Boulder,80303,2020-12-01
402-00954,HERBAL HEALING LLC,HERBAL HEALING,MMC,Colorado Springs,80909,2020-12-01
402-00555,LEVELS IV INC,LEVELS IV INC,MMC,Lakewood,80226,2020-12-01
402-00898,ALTITUDE WELLNESS CENTER LLC,NATURES HERBS AND WELLNESS DTC,MMC,Denver,80231,2020-12-01
402-00137,HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,MMC,Denver,80211,2020-12-01
402-00918,ROCKY ROAD REMEDIES LLC,ROCKY ROAD SOUTH,MMC,Colorado Springs,80915,2020-12-01
402-01174,PNP VENTURES LLC,HEADMASTER,MMC,Colorado Springs,80909,2020-12-01
402-00751,3B FEDERAL1 LLC,BUDDY BOY,MMC,Denver,80219,2020-12-01
402-01211,ROCKY FARMS LLC,ROCKY FARMS,MMC,Rocky Ford,81067,2020-12-01
402-01170,STJ APPAREL LLC,FIRE MEDS,MMC,Colorado Springs,80909,2020-12-01
402-00370,UNIVERSAL HERBS LLC,UNIVERSAL HERBS,MMC,Denver,80205,2020-12-01
402-01237,IHN HOLDINGS LLC,5280 WEEDERY LLC,MMC,Denver,80216,2020-12-01
402-01225,TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,MMC,Colorado Springs,80903,2020-12-01
402-00957,CONCENTRATE LLC,WOLF PAC CANNABIS,MMC,Denver,80219,2020-12-01
402-00837,LIVWELL VII LLC,LIVWELL,MMC,Fort Collins,80524,2020-12-01
402-01168,ROCKY ROAD REMEDIES LLC,ROCKY ROAD ORIGINAL,MMC,Colorado Springs,80916,2020-12-01
402-01149,HGCO LLC,None,MMC,Colorado Springs,80916,2020-12-01
402-01288,PLAIN JANE ORGANICS LLC,,MMC,Colorado City,81019,2020-12-01
402-01300,N&G ENTERPRISES LLC,LOUD,MMC,Commerce City,80022,2020-12-01
402-01181,GT INDUSTRIES LLC,HUSH CANNABIS & CONFECTIONS,MMC,Avon,81620,2020-12-01
402-01304,DOWN VALLEY HYH LLC,GOODPEOPLE ,MMC,Basalt,81621,2020-12-01
402-00842,SOLACE MEDS LLC,,MMC,Fort Collins,80525,2020-12-01
402-00925,KIND LOVE LLC,KIND LOVE ,MMC,Glendale,80246,2020-12-01
402-00041,HG LTD,HIGHER GRADE,MMC,Denver,80211,2020-12-01
402-00923,THE GENETIC LOCKER INC,TERRAPIN CARE STATION,MMC,Boulder,80303,2020-12-01
402-00088,FUTUREVISION LTD,MEDICINE MAN DENVER,MMC,Denver,80239,2020-12-01
402-00118,TWOG-WALNUT LLC,BUDDY BOY,MMC,Denver,80205,2020-12-01
402-01243,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,MMC,Pueblo,81007,2020-12-01
402-01139,SOUTHERN COLORADO CANNABIS CLUB LLC,,MMC,Fort Garland,81133,2020-12-01
402-00872,HOLLY MEDICINAL SERVICES LLC,THE CLINIC ON COLORADO,MMC,Denver,80222,2020-12-01
402-01194,THE GOLDEN SUMMIT LLC,THE APOTHEKE,MMC,Colorado Springs,80916,2020-12-01
402-01263,STATION 2 LLC,,MMC,Denver,80219,2020-12-01
402-01310,MOUNTAIN VIEW 44TH LLC,STARBUDS,MMC,Mountain View,80212,2020-12-01
402-01185,TESLA LLC,,MMC,Denver,80216,2020-12-01
402-01193,HG LTD,HIGHER GRADE,MMC,Denver,80231,2020-12-01
402-01072,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,MMC,Colorado Springs,80909,2020-12-01
402-01313,GREEN MEADOWS DISPENSARY LLC ,GREEN MEADOWS DISPENSARY LLC,MMC,Delta,81416,2020-12-01
402-01251,NINE POUND HAMMER LLC,IGADI,MMC,Lafayette,80026,2020-12-01
402-00194,THE DANDELION LLC,THE DANDELION,MMC,Boulder,80302,2020-12-01
402-00249,TWOG-YORK LLC,BUDDY BOY,MMC,Denver,80216,2020-12-01
402-00947,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,MMC,Colorado Springs,80907,2020-12-01
402-00891,NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,MMC,Denver,80222,2020-12-01
402-00313,HEALING HOUSE LAKEWOOD LLC,ASCEND CANNABIS CO,MMC,Lakewood,80226,2020-12-01
402-00940,COMPASSIONATE ENTERPRISES LLC,THE CLINIC ON WADSWORTH,MMC,Lakewood,80235,2020-12-01
402-00374,JET BLACK ENTERPRISES LLC,LEIFFA,MMC,Lakewood,80214,2020-12-01
402-00383,THE EPIC REMEDY LLC,THE ER,MMC,Colorado Springs,80907,2020-12-01
402-00935,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,MMC,Colorado Springs,80903,2020-12-01
402-00452,I & S LLC,SILVER STEM FINE CANNABIS,MMC,Littleton,80120,2020-12-01
402-00455,HOBBY FARMS LLC,A CUT ABOVE,MMC,Denver,80210,2020-12-01
402-01000,LIVWELL X LLC,LIVWELL,MMC,Berthoud,80513,2020-12-01
402-00281,RME GROUP LLC,AFFINITY,MMC,Denver,80220,2020-12-01
402-00532,DURANGO ORGANICS LLP,,MMC,Durango,81303,2020-12-01
402-00584,THE HEALING CANNA LLC,,MMC,Colorado Springs,80909,2020-12-01
402-00903,LIVWELL I LLC,LIVWELL,MMC,Garden City,80631,2020-12-01
402-00953,ANIMAS HERBAL WELLNESS CENTER INC,PROHIBITION HERB,MMC,Durango,81301,2020-12-01
402-00642,BOULDER WELLNESS CENTER LLC,,MMC,Boulder,80303,2020-12-01
402-00690,TWOG FEDERAL LLC,BUDDY BOY,MMC,Denver,80219,2020-12-01
402-00481,D AND C MEDICAL MARIJUANA LLC,GOLDEN LEAF,MMC,Steamboat Springs,80487,2020-12-01
402-00435,VIRTUAL MARKETING LLC,MAGGIE'S FARM,MMC,Canon City,81212,2020-12-01
402-00738,ROCKY MOUNTAIN WAYS LLC,GOOD MEDS,MMC,Lakewood,80215,2020-12-01
402-00745,3B KALAMATH LLC,BUDDY BOY,MMC,Denver,80223,2020-12-01
402-00558,MAYFLOWER GROUP LLC,THE HEALTH CENTER,MMC,Denver,80218,2020-12-01
402-00766,EMERALD CITY WELLNESS LLC,EMERALD CITY WELLNESS,MMC,Colorado Springs,80905,2020-12-01
402-00793,RINO SUPPLY CO INC,RINO SUPPLY COMPANY,MMC,Denver,80205,2020-12-01
402-00729,STANDING AKIMBO LLC,,MMC,Denver,80211,2020-12-01
402-00618,WHITE MOUNTAIN MEDICINE LLC,LIVWELL,MMC,Colorado Springs,80907,2020-12-01
402-00714,DOCTORS ORDERS LLC,DOCTORS ORDERS,MMC,Denver,80211,2020-12-01
402-00736,HERBAL OPTIONS LLC,GOOD MEDS,MMC,Englewood,80110,2020-12-01
402-00755,MAGGIES FARM LLC,MAGGIES FARM,MMC,Colorado Springs,80905,2020-12-01
402-01015,OPTIONS MEDICAL CENTER WR LLC,OPTIONS,MMC,Wheat Ridge,80033,2020-12-01
402-00829,MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,MMC,Denver,80222,2020-12-01
402-00910,PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,MMC,Pueblo West,81007,2020-12-01
402-01092,THE EPIC REMEDY LLC,THE ER,MMC,Colorado Springs,80910,2020-12-01
402-00849,3B-38 LLC,BUDDY BOY,MMC,Denver,80212,2020-12-01
402-00877,POTCO LLC,POTCO,MMC,Denver,80239,2020-12-01
402-00894,LIVWELL II LLC,LIVWELL,MMC,Colorado Springs,80915,2020-12-01
402-00899,MAGGIES FARM LLC,MAGGIES FARM,MMC,Pueblo West,81007,2020-12-01
402-00905,RJJ FRISCO LLC,NATIVE ROOTS FRISCO,MMC,Frisco,80443,2020-12-01
402-00961,RJJ LONGMONT LLC,NATIVE ROOTS LONGMONT,MMC,Longmont,80501,2020-12-01
402-00977,RJJ SHERIDAN LLC,NATIVE ROOTS LITTLETON,MMC,Denver,80123,2020-12-01
402-01005,THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,MMC,Pueblo,81006,2020-12-01
402-01042,RJJ COLORADO SPRINGS LLC,NATIVE ROOTS COLORADO SPRINGS,MMC,Colorado Springs,80918,2020-12-01
402-01083,RJJ UINTAH LLC,NATIVE ROOTS UINTAH,MMC,Colorado Springs,80904,2020-12-01
402-01084,RJJ ACADEMY LLC,NATIVE ROOTS ACADEMY,MMC,Colorado Springs,80909,2020-12-01
402-01101,WASH PARK BOUTIQUE LLC,LUCY SKY CANNABIS BOUTIQUE,MMC,Denver,80210,2020-12-01
402-01122,GREEN SATIVA LLC,,MMC,Federal Heights,80260,2020-12-01
402-01130,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,MMC,Colorado Springs,80907,2020-12-01
402-01187,LBW CONSULTING GROUP LLC,SEED & SMITH,MMC,Denver,80239,2020-12-01
402-01207,BEST MEDS LLC,,MMC,Colorado Springs,80904,2020-12-01
402-01260,PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,MMC,Denver,80216,2020-12-01
402-01272,FRONT RANGE BOTANICAL LLC,SOUTH PARK FARMA,MMC,Commerce City,80022,2020-12-01
402-01284,10232 LLC,PROVISIONS,MMC,Walsenburg,81089,2020-12-01
402-01278,YUMA WAY LLC,TWIN PEAKS DISPENSARY,MMC,Longmont,80501,2020-12-01
402-01307,LIVWELL IV LLC,LIVWELL,MMC,Pueblo,81008,2020-12-01
402-01319,RESERVE 1 MANITOU LLC,EMERALD FIELDS,MMC,Manitou Springs,80829,2020-12-01
402-01316,ONYX LAKE HOLDINGS LLC ,GOLDEN NUGGET DISPENSARY,MMC,Central City,80427,2020-12-01
402-01323,MC2 BOULDER LLC ,MARQUIS CANNABIS ,MMC,Boulder,80302,2020-12-01
402-01322,CRAIG CANNABIS INC,ROCKY MOUNTAIN CANNABIS,MMC,Craig,81625,2020-12-01
402-01326,TUMBLEWEED CRAIG LLC,,MMC,Craig,81625,2020-12-01
402-01324,EXIT 243 LLC ,DISPENSARY EXIT 243,MMC,Idaho Springs,80452,2020-12-01
402-01331,MAGGIES FARM LLC,MAGGIE'S FARM,MMC,Las Animas,81054,2020-12-01
402-01328,SISTEM COMMERCE CITY LLC ,SILVER STEM FINE CANNABIS,MMC,Commerce City,80022,2020-12-01
402-01330,2251SB LLC,APOTHECARY FARMS,MMC,Colorado Springs,80909,2020-12-01
402-01255,LIGHTSHADE LABS LLC,LIGHTSHADE,MMC,Federal Heights,80260,2020-12-01
